news_headline,news_article,news_category
General Motors to not acquire 11% stake in Nikola,General Motors (GM) and Nikola on Monday announced a reworked deal that replaced their previous agreement under which GM would acquire 11% equity stake in the startup and produce the proposed electric pickup Badger. The companies have instead signed a non-binding memorandum of understanding which is subject to negotiation. Nikola was previously accused of fraud by a short seller.,automobile
"Prithvi Shaw hits Rohit Sharma with a stray throw, gets trolled after video goes viral","Team India vice-captain Rohit Sharma was hit on his fingers with a stray throw by substitute fielder Prithvi Shaw during the first day of the Brisbane Test. Reacting to a video shared by Cricket Australia, a fan tweeted, ""Shaw trying to find a place in playing XI."" ""Shaw to Rohit: Na khelunga, na khelne dunga,"" wrote another.",sports
"China becomes second nation to plant flag on the Moon, releases picture","China has become the second country in history to put its flag on the moon, more than 50 years after the US first planted its flag. China's National Space Administration released images of the flag taken by a camera on the Chang'e-5 space probe before it left the Moon with rock samples on Thursday.",science
"Bricks hurled at BJP chief Nadda's convoy in Bengal, several injured","Bricks were hurled at the car convoy of BJP National President JP Nadda in West Bengal on Thursday. Protesters hurled stones at the vehicles of BJP leaders Kailash Vijayvargiya and Deepanjan Guha in Diamond Harbour. BJP leader Anupam Hazra claimed that many party workers were injured, adding that it was a pre-planned attack and the police were helping the protesters. ",politics
"Jaguar Land Rover seeks US ban on Audi, other SUVs for patent infringement","Jaguar Land Rover (JLR) has urged the US to impose an import ban on SUVs made by Volkswagen-owned brands such as Audi, Porsche and Lamborghini over allegations they infringe its Terrain Response patent. Porsche Cayenne, Volkswagen Tiguan and Audi Q8, Q7 and Q5 are some of the cars that JLR has requested to ban. ",automobile
"JD(U) student wing leader shot at in Patna, condition critical","A Janata Dal (United) student wing leader was allegedly shot at by criminals in Bakhtiyarpur area of Bihar's Patna on Sunday, police said. The victim, identified as Alok Tejashwi, has been admitted to a hospital and his condition is said to be critical. Tejashwi is the President of the youth unit of the party in Patna district rural.",politics
"Tata Motors' 'tere mere pyaar...' tweet sparks Tesla tie-up rumours, firm denies","After a tweet by Tata Motors Electric Mobility, a division of Tata Motors, on Friday sparked rumours of a tie-up with Tesla, the Indian automaker said it ""categorically denies all rumours suggesting the same"". ""We have not taken any decision regarding a strategic partner for our PV business,"" it added. Shares of Tata Motors jumped nearly 7% after the tweet.",automobile
"Cricket 19 video game censors Niroshan Dickwella's name, pic surfaces","Cricket 19 video game has censored Sri Lankan cricketer Niroshan Dickwella's name from the platform. His name appears as 'N D-Censored' in the game. Renowned cricket writer Jarrod Kimber took to Twitter to share a picture from the game. Reacting to it, a user wrote, ""What nonsense."" Another user jokingly wrote, ""Lol...if parents didn't censor, who are they to?""",sports
Tesla reveals women comprise 17% of its total US leadership roles,"Tesla revealed in its first-ever US diversity report that women comprise 17% of the company's leadership roles and 21% of the overall workforce. It added that Black people make up 4% of its US leadership roles and 10% of its total workforce. ""While women are historically underrepresented...we recognise we have work to do in this area,"" Tesla said.",automobile
150 km-long iceberg on collision path with British territory,"A 150 km-long and 48 km-wide Antarctic iceberg is heading for the British Overseas Territory of South Georgia with concerns that it could disrupt its economy and its wildlife. A-68A, which is of the same size as South Georgia, was one of the largest icebergs on record when it calved. It split from Antarctica's Larsen C ice shelf in 2017.",science
"Aus batting is 30% Warner, 30% Smith, 30% all others: Kris Srikkanth","Ex-India batsman Kris Srikkanth has said that while Australia have a ""very good"" bowling attack, their batting is ""not very strong"". ""My belief is the Aussies' batting is 30% David Warner, 30% Steve Smith, all others put together is 30%,"" he stated. On the Melbourne Test, Srikkanth said that India need to have ""a bit more positive intent"".",sports
Bajaj Auto becomes world's most valuable two-wheeler company,"Pune-based Bajaj Auto has said that it has become the world's most valuable two-wheeler company as its market capitalisation crossed ₹1 lakh crore. Bajaj Auto achieved this milestone as it celebrates the 75th year of its operations. Bajaj Auto on Monday reported an 11% increase in total sales at 3,72,532 units in December 2020.",automobile
Ronaldo on target as Juventus beat Napoli to win their 9th Italian Super Cup,"Juventus saw goals from Cristiano Ronaldo and Alvaro Morata to win their record-extending ninth Italian Super Cup after beating Napoli 2-0 on Wednesday. With this win, former Juventus footballer Andrea Pirlo won his first trophy at the club as a manager. While Ronaldo scored the first goal in the 64th minute, Morata scored the second in the stoppage time.",sports
"Impossible to monitor change of grip, stance: Taufel on banning switch hit","Former ICC Elite Panel umpire Simon Taufel has said that it's ""impossible"" for the on-field umpire to monitor the batsman for change in grip or stance for the 'switch hit' shot. It comes after ex-Australia captain Ian Chappell urged ICC to ban 'switch hit' shot, stating, ""I'd prefer to see a contest rather than batting exhibitions.""",sports
Hyundai retracts Apple reference from its statement on EV tie-up,"Hours after a Hyundai spokesperson confirmed that it was in talks with Apple, the South Korean auto giant revised its statement and withdrew references to the iPhone maker from it. In the new statement, Hyundai said it had been contacted by potential partners for development of autonomous electric vehicles. The confirmation had caused Hyundai's value to rise by $9 billion.",automobile
Tesla Full Self-Driving's safety to be above avg driver's in 2021: Musk,"Tesla CEO Elon Musk tweeted he is confident Tesla's ""Full Self-Driving will work at a safety level well above that of the average driver this year"". He said this in response to a post talking about Musk being confident that Tesla will be able to achieve level five autonomy next year. Tesla recently released an update featuring in-car video games.",automobile
"Stayed up all night, now will sleep peacefully: SRK after India beat Australia","Shah Rukh Khan took to social media to congratulate the Indian cricket team for winning the Test series against Australia. ""What an absolutely marvellous victory for our team,"" he wrote. ""Stayed up all night to watch it unfold ball by ball. Now will sleep peacefully for a bit and savour this historic moment. Love to...our boys...Chak De India!"" he added. ",sports
"TDP leader murdered in Andhra Pradesh, 2nd such killing in a week","Telugu Desam Party (TDP) leader Puramsetti Ankulu was allegedly murdered in Andhra Pradesh's Guntur district on Sunday night. His body was found at an under-construction apartment complex. A TDP leader alleged that it was a ""cold-blooded murder"" by Yuvajana Sramika Rythu Congress (YSRC) party. Another TDP leader Nandam Subbaiah was killed in Proddatur last week.",politics
Egg on my face over here: Vaughan after his India series prediction goes wrong ,"Ex-England captain Michael Vaughan, who had predicted that Australia will beat India 4-0 in the Test series, took to Twitter to react after India won the series 2-1. ""Wow...That has to go down as one of the greatest if not the greatest Test victory of all time,"" he wrote. ""Egg on my face over here in the UK,"" he added.",sports
